siteid,sitename,date,t1,t2,t3,t4,h3,h4,f1,f2
GUA046,EL MAESTRO,2020-08-30T16:37:50Z,2.9,21.7,22.4,18.3,34.1,43.5,35.05,43.1
GUA046,EL MAESTRO,2020-08-30T16:41:56Z,5.6,23.5,22.9,18.9,34.7,42.7,34.45,34.63
GUA046,EL MAESTRO,2020-08-30T16:45:56Z,3.1,21.8,22.5,18.5,34.9,45.3,33.82,34.24
GUA046,EL MAESTRO,2020-08-30T16:49:57Z,7,23.2,23.1,19.2,34.8,42.9,33.6,33.95
GUA046,EL MAESTRO,2020-08-30T16:53:56Z,3,21.8,22.5,18.4,34.1,43.4,34.73,34.86
GUA046,EL MAESTRO,2020-08-30T16:57:55Z,7.2,23.7,23.1,19.2,34.6,42.4,34.06,34.39
GUA046,EL MAESTRO,2020-08-30T17:01:58Z,2.9,21.9,22.4,18.5,34,43,22.08,22.27
GUA046,EL MAESTRO,2020-08-30T17:05:54Z,3.8,22.5,22.4,18.3,35.8,43.2,34.02,42.04
GUA046,EL MAESTRO,2020-08-30T17:09:59Z,3.4,22.4,22.8,19.1,34.6,42.7,22.41,22.51
GUA046,EL MAESTRO,2020-08-30T17:14:00Z,2.6,21.4,22.1,17.9,38.7,47.8,35.11,35.3
GUA046,EL MAESTRO,2020-08-30T17:17:57Z,5.4,23,23.1,19.4,35.8,43.6,34.69,34.87
GUA046,EL MAESTRO,2020-08-30T17:21:53Z,2.9,21.7,22.3,18.3,35.4,45.3,35.88,36.82
GUA046,EL MAESTRO,2020-08-30T17:25:58Z,6.9,23.6,23.1,19.3,34.9,42.5,33.56,34.4
GUA046,EL MAESTRO,2020-08-30T17:30:05Z,2.6,21.7,22.3,18.4,35.9,45.4,34.52,34.6
GUA046,EL MAESTRO,2020-08-30T17:34:05Z,5.5,23.3,23.1,19.4,34.6,42.5,33.75,41.65
GUA046,EL MAESTRO,2020-08-30T17:38:06Z,2.5,21.7,22.2,18.3,36.5,47.5,34.38,34.67
GUA046,EL MAESTRO,2020-08-30T17:42:09Z,10.8,23.7,23.1,19.5,36,43.6,34.36,34.65
GUA046,EL MAESTRO,2020-08-30T17:46:12Z,2.8,21.8,22.4,18.5,35.3,44.9,36.59,34.28
GUA046,EL MAESTRO,2020-08-30T17:50:11Z,7.7,23.7,23.1,19.5,35.2,42.8,21.97,22.18
GUA046,EL MAESTRO,2020-08-30T17:54:14Z,2.5,21.7,22.3,18.4,36.7,44.7,34.42,34.46
GUA046,EL MAESTRO,2020-08-30T17:58:19Z,4.2,23.1,23,19.5,34.9,42.6,22.07,22.34
GUA046,EL MAESTRO,2020-08-30T18:02:26Z,3.3,22.6,22.3,18.4,36.3,43.2,34.1,42.25
GUA046,EL MAESTRO,2020-08-30T18:06:31Z,3,22.4,22.7,19,35.3,43.9,35.01,35.11
GUA046,EL MAESTRO,2020-08-30T18:10:31Z,7,24.3,23.1,19.5,35.5,42.6,24.29,24.35
GUA046,EL MAESTRO,2020-08-30T18:14:30Z,2.5,22,22.4,18.6,37,45.6,33.62,33.87
GUA046,EL MAESTRO,2020-08-30T18:18:30Z,5.3,23.6,23.2,19.7,35.4,42.9,21.97,22.03
GUA046,EL MAESTRO,2020-08-30T18:22:32Z,2.3,21.7,22.2,18.3,36.8,44.4,33.77,33.88
GUA046,EL MAESTRO,2020-08-30T18:26:30Z,3.8,22.9,23,19.5,35.3,43.4,23.49,31.36
GUA046,EL MAESTRO,2020-08-30T18:30:34Z,3.7,23.1,22.5,18.7,36.5,43.1,34.34,41.88
GUA046,EL MAESTRO,2020-08-30T18:34:33Z,2.8,22.4,22.6,19.1,35.6,44,34.97,35.01
GUA046,EL MAESTRO,2020-08-30T18:38:34Z,5.6,24.2,23,19.5,36,42.8,22.59,22.69
GUA046,EL MAESTRO,2020-08-30T18:42:41Z,2.4,22.1,22.3,18.7,37.6,44.7,34.41,35.79
GUA046,EL MAESTRO,2020-08-30T18:46:45Z,4.1,23.3,23.1,19.7,35.8,44.1,22.46,22.51
GUA046,EL MAESTRO,2020-08-30T18:50:48Z,4.2,23.5,22.7,18.9,37.9,44.6,33.96,41.86
GUA046,EL MAESTRO,2020-08-30T18:54:51Z,3,22.5,22.7,19.2,36.2,44.6,33.95,41.78
GUA046,EL MAESTRO,2020-08-30T18:58:58Z,7.6,24.4,23.2,19.7,37.1,43.7,22.19,22.31
GUA046,EL MAESTRO,2020-08-30T19:03:00Z,2.5,22.1,22.4,18.8,37.3,46.5,34.22,34.28
GUA046,EL MAESTRO,2020-08-30T19:07:06Z,7.2,24,23.3,19.9,35.8,42.6,23.38,23.39
GUA046,EL MAESTRO,2020-08-30T19:11:14Z,2.5,22.2,22.3,18.6,38.1,44.8,34.75,34.93
GUA046,EL MAESTRO,2020-08-30T19:15:19Z,3.7,23.1,22.9,19.6,35.8,44.2,23.15,31.04
GUA046,EL MAESTRO,2020-08-30T19:19:22Z,4.8,24,22.9,19.4,37.6,43.8,34.32,42.24
GUA046,EL MAESTRO,2020-08-30T19:23:24Z,2.8,22.6,22.7,19.3,36,44,34.26,34.29
GUA046,EL MAESTRO,2020-08-30T19:27:28Z,5.8,24.6,23.2,19.9,35.5,42,23.26,23.23
GUA046,EL MAESTRO,2020-08-30T19:31:31Z,2.2,22.1,22.3,18.7,38.5,46.1,34.92,35.25
GUA046,EL MAESTRO,2020-08-30T19:35:33Z,4.7,23.6,23.1,19.9,35.8,43.8,22.48,22.51
GUA046,EL MAESTRO,2020-08-30T19:39:34Z,4.2,23.8,22.8,19.2,36.7,42.9,33.73,41.76
GUA046,EL MAESTRO,2020-08-30T19:43:33Z,2.5,22.6,22.6,19.4,35.5,43.4,32.43,40.44
GUA046,EL MAESTRO,2020-08-30T19:47:35Z,5.6,24.5,23.1,19.8,35.7,42.1,22.48,22.7
GUA046,EL MAESTRO,2020-08-30T19:51:37Z,2.3,22.2,22.4,18.8,37.6,44.8,33.6,33.66
GUA046,EL MAESTRO,2020-08-30T19:55:42Z,4.3,23.6,23.2,20,35.4,43.4,22.55,22.62
GUA046,EL MAESTRO,2020-08-30T19:59:43Z,4.1,23.9,22.9,19.3,35.9,42.1,22.24,22.32
GUA046,EL MAESTRO,2020-08-30T20:03:44Z,2.2,22.4,22.6,19.2,36.3,44.8,33.5,41.46
GUA046,EL MAESTRO,2020-08-30T20:07:45Z,9.4,24.6,23.4,20.2,35.8,42.7,22.28,30.33
GUA046,EL MAESTRO,2020-08-30T20:11:40Z,3,23,22.5,18.9,37,43.2,33.56,33.67
GUA046,EL MAESTRO,2020-08-30T20:15:36Z,3,23.2,22.9,19.7,35.2,43,21.81,21.94
GUA046,EL MAESTRO,2020-08-30T20:19:39Z,4.1,23.9,22.7,19.3,36.5,42.5,33.43,33.43
GUA046,EL MAESTRO,2020-08-30T20:23:37Z,2.4,22.6,22.6,19.3,35.6,43.4,22.22,22.34
GUA046,EL MAESTRO,2020-08-30T20:27:42Z,6.7,24.8,23.3,20,37.3,43.2,21.93,30.32
GUA046,EL MAESTRO,2020-08-30T20:31:38Z,2.3,22.4,22.5,19.1,36.3,44,24.3,32.41
GUA046,EL MAESTRO,2020-08-30T20:35:34Z,7.8,24.9,23.4,20.2,37.6,43.7,23.09,23.32
GUA046,EL MAESTRO,2020-08-30T20:39:34Z,2.3,22.4,22.5,19.1,36.8,44.8,33.95,34.09
GUA046,EL MAESTRO,2020-08-30T20:43:30Z,8.9,24.9,23.4,20.3,36.4,42.6,21.9,22.03
GUA046,EL MAESTRO,2020-08-30T20:47:28Z,2,22.1,22.3,18.8,36.9,45.6,34.81,33.68
GUA046,EL MAESTRO,2020-08-30T20:51:33Z,10.2,24.6,23.3,20.3,36.5,42.5,21.75,29.95
GUA046,EL MAESTRO,2020-08-30T20:55:33Z,2.1,22.3,22.3,18.8,37.6,45.6,34.02,42.09
GUA046,EL MAESTRO,2020-08-30T20:59:37Z,5.5,24.1,23.3,20.2,35.9,43.7,22.4,21.92
GUA046,EL MAESTRO,2020-08-30T21:03:39Z,4.6,24.3,23,19.7,36,41.9,22.56,22.49
GUA046,EL MAESTRO,2020-08-30T21:07:40Z,2.1,22.5,22.5,19.2,36.1,44.1,33.38,33.77
GUA046,EL MAESTRO,2020-08-30T21:11:39Z,9.5,24.7,23.4,20.4,36.8,42.8,22.66,22.39
GUA046,EL MAESTRO,2020-08-30T21:15:38Z,2.3,22.4,22.4,19,37.4,45.2,33.45,41.45
GUA046,EL MAESTRO,2020-08-30T21:19:35Z,5.5,24.3,23.3,20.3,35.5,43,21.86,21.9
GUA046,EL MAESTRO,2020-08-30T21:23:34Z,3.5,23.7,22.6,19.2,36.9,42.8,33.78,33.93
GUA046,EL MAESTRO,2020-08-30T21:27:39Z,3,23.3,23,19.9,35.3,43.1,22.2,22.29
GUA046,EL MAESTRO,2020-08-30T21:31:36Z,5.2,24.6,23.1,19.9,35.5,41.4,21.73,22.32
GUA046,EL MAESTRO,2020-08-30T21:35:37Z,2,22.4,22.5,19.1,35.9,43.7,33.55,33.63
GUA046,EL MAESTRO,2020-08-30T21:39:43Z,9.3,24.8,23.4,20.4,36,42.5,21.71,29.8
GUA046,EL MAESTRO,2020-08-30T21:43:40Z,3,23.2,22.5,19.2,37.6,43.5,33.97,34.1
GUA046,EL MAESTRO,2020-08-30T21:47:39Z,3.2,23.3,23,19.9,35.5,43.3,21.82,21.91
GUA046,EL MAESTRO,2020-08-30T21:51:46Z,4.7,24.4,23,19.7,37.6,43.2,33.82,33.93
GUA046,EL MAESTRO,2020-08-30T21:55:41Z,2.6,22.8,22.8,19.6,35.9,43.6,21.8,21.89
GUA046,EL MAESTRO,2020-08-30T21:59:49Z,5.6,24.7,23.2,20,36.1,41.8,22.2,30.52
GUA046,EL MAESTRO,2020-08-30T22:03:46Z,2,22.4,22.6,19.3,35.6,43.1,37.73,45.38
GUA046,EL MAESTRO,2020-08-30T22:07:50Z,6.4,25,23.4,20.3,35.2,41.2,23.27,22.65
GUA046,EL MAESTRO,2020-08-30T22:11:51Z,2.5,23,22.4,19.1,37.3,44.5,34.69,34.78
GUA046,EL MAESTRO,2020-08-30T22:15:58Z,11.1,25,23.5,20.6,36.3,43.6,22.74,22.86
GUA046,EL MAESTRO,2020-08-30T22:19:59Z,3.3,23.6,22.7,19.3,37.3,42.9,33.99,34.37
GUA046,EL MAESTRO,2020-08-30T22:24:04Z,2.9,23.4,23,19.9,35.5,43.2,22.07,29.99
GUA046,EL MAESTRO,2020-08-30T22:28:01Z,5.4,24.7,23.2,20,40.5,46.3,33.65,41.68
GUA046,EL MAESTRO,2020-08-30T22:31:54Z,3.6,23.5,23.1,20.1,36.9,44.7,21.97,21.9
GUA046,EL MAESTRO,2020-08-30T22:35:55Z,5.1,24.5,23.1,19.8,39.8,45.4,34.13,34.29
GUA046,EL MAESTRO,2020-08-30T22:39:57Z,3.2,23.2,23,20,36.9,44.6,22.2,22.28
GUA046,EL MAESTRO,2020-08-30T22:43:56Z,5.6,24.8,23.2,20.1,37.3,42.7,21.81,22.44
GUA046,EL MAESTRO,2020-08-30T22:47:56Z,2.3,22.7,22.6,19.4,37.6,45.7,33.57,41.54
GUA046,EL MAESTRO,2020-08-30T22:52:01Z,9.5,25.1,23.4,20.6,36.5,43.3,22.55,22.64
GUA046,EL MAESTRO,2020-08-30T22:56:00Z,3.2,23.6,22.6,19.4,39.8,48.1,34.26,34.39
GUA046,EL MAESTRO,2020-08-30T23:00:03Z,6.9,24.4,23.4,20.6,36.5,44,21.76,21.84
GUA046,EL MAESTRO,2020-08-30T23:04:14Z,3.6,23.7,22.7,19.3,40.3,48.5,33.32,33.97
GUA046,EL MAESTRO,2020-08-30T23:08:14Z,6.9,24.4,23.5,20.6,37,44.4,21.71,29.81
GUA046,EL MAESTRO,2020-08-30T23:12:16Z,4.2,24.2,22.9,19.7,40.9,47.5,35.11,41.14
GUA046,EL MAESTRO,2020-08-30T23:16:19Z,4.6,23.9,23.3,20.4,37.3,45.1,22.39,22.49
GUA046,EL MAESTRO,2020-08-30T23:20:22Z,5.4,24.7,23.2,20,37.9,43.3,25.88,25.97
GUA046,EL MAESTRO,2020-08-30T23:24:29Z,2.4,22.9,22.7,19.6,36.8,44.1,33.3,33.38
GUA046,EL MAESTRO,2020-08-30T23:28:36Z,6.6,25.2,23.4,20.5,36.5,43.5,21.7,21.78
GUA046,EL MAESTRO,2020-08-30T23:32:39Z,3.8,24.1,22.8,19.7,40.3,47.2,33.78,41.78
GUA046,EL MAESTRO,2020-08-30T23:36:39Z,5,24.2,23.4,20.5,36.9,44.5,21.8,29.76
GUA046,EL MAESTRO,2020-08-30T23:40:40Z,5.2,24.8,23.2,20.1,35.9,41.7,22.48,22.11
GUA046,EL MAESTRO,2020-08-30T23:44:41Z,2.2,22.7,22.5,19.3,36.9,44.8,33.49,33.61
GUA046,EL MAESTRO,2020-08-30T23:48:40Z,7.1,24.7,23.5,20.5,35.7,43.4,21.69,21.8
GUA046,EL MAESTRO,2020-08-30T23:52:40Z,3.5,23.8,22.7,19.3,37.8,43.9,33.08,41.03
GUA046,EL MAESTRO,2020-08-30T23:56:49Z,3.5,23.7,23.1,20.2,35.7,43.2,21.63,30.33
GUA046,EL MAESTRO,2020-08-31T00:00:57Z,5.2,24.8,23.2,20.1,37.7,44.9,-1,-1
GUA046,EL MAESTRO,2020-08-31T00:05:03Z,11.4,26,24,21.4,38.7,44.4,-1,-1
GUA046,EL MAESTRO,2020-08-31T00:09:08Z,14.2,27.1,24.6,22.7,39.2,44.2,-1,-1
GUA046,EL MAESTRO,2020-08-31T00:13:15Z,15.5,27.9,25.1,23.6,39.8,44.5,-1,-1
GUA046,EL MAESTRO,2020-08-31T00:17:26Z,16.2,28.4,25.5,24.1,40.8,45,-1,-1
GUA046,EL MAESTRO,2020-08-31T00:21:29Z,16.7,28.8,25.7,24.6,41.4,45.3,-1,-1
GUA046,EL MAESTRO,2020-08-31T00:25:36Z,17.1,29.2,25.9,24.9,42.3,45.9,-1,-1
GUA046,EL MAESTRO,2020-08-31T00:29:49Z,17.4,29.5,26.1,25.2,42.9,46.5,-1,-1
GUA046,EL MAESTRO,2020-08-31T00:34:02Z,17.7,29.8,26.3,25.5,43.6,47.2,-1,-1
GUA046,EL MAESTRO,2020-08-31T00:38:07Z,18,29.9,26.5,25.7,44.2,47.7,-1,-1
GUA046,EL MAESTRO,2020-08-31T00:42:13Z,18.2,30.2,26.8,25.9,44.8,48.2,-1,-1
GUA046,EL MAESTRO,2020-08-31T00:46:24Z,18.4,30.4,26.9,26.1,45.3,48.9,-1,-1
GUA046,EL MAESTRO,2020-08-31T00:50:31Z,18.5,30.5,27,26.3,45.7,49.3,-1,-1
GUA046,EL MAESTRO,2020-08-31T00:54:42Z,18.7,30.7,27.2,26.5,46.1,49.8,-1,-1
GUA046,EL MAESTRO,2020-08-31T00:58:45Z,18.9,30.8,27.4,26.6,46.2,50.2,-1,-1
GUA046,EL MAESTRO,2020-08-31T01:02:50Z,19,31,27.6,26.7,46.7,50.6,-1,-1
GUA046,EL MAESTRO,2020-08-31T01:07:08Z,19.1,31.1,27.8,26.9,47,50.9,-1,-1
GUA046,EL MAESTRO,2020-08-31T01:11:22Z,19.2,31.2,27.9,27.1,42.7,45.4,60.47,68.52
GUA046,EL MAESTRO,2020-08-31T01:15:26Z,7.4,28.9,25.8,25.8,45,38.7,47.65,54.97
GUA046,EL MAESTRO,2020-08-31T01:19:36Z,2.1,23.6,21.5,21.1,45.2,51,45.12,53.06
GUA046,EL MAESTRO,2020-08-31T01:23:35Z,4.9,24.6,22.8,20.5,39.5,44.8,45.74,53.65
GUA046,EL MAESTRO,2020-08-31T01:27:36Z,2.2,22.5,22.7,19.5,37.3,45.4,32.59,32.73
GUA046,EL MAESTRO,2020-08-31T01:31:43Z,5.7,24.5,23.3,20.1,37.7,43.4,43.49,43.56
GUA046,EL MAESTRO,2020-08-31T01:35:41Z,1.8,22.3,22.6,19.2,36.6,44.5,43.32,43.45
GUA046,EL MAESTRO,2020-08-31T01:39:43Z,6.5,24.7,23.4,20.1,35.1,41.4,31.92,39.89
GUA046,EL MAESTRO,2020-08-31T01:43:49Z,1.2,21.8,22.3,18.6,35.6,43.3,44.46,52.29
GUA046,EL MAESTRO,2020-08-31T01:47:58Z,6.9,24.7,23.4,20.3,35.3,42.9,34.04,34.16
GUA046,EL MAESTRO,2020-08-31T01:52:07Z,3.8,24.2,22.9,19.7,44.4,53.8,44.59,44.62
GUA046,EL MAESTRO,2020-08-31T01:56:12Z,7.6,24.1,23.4,20.5,38,45.8,32.61,32.68
